"common.name","native.US","status.SEAZ","diet","group"
"Williamson's Sapsucker","Native","Winter",NA,"Woodpecker"
"Willow Flycatcher","Native","Migrant",NA,"Flycatcher"
"Wilson's Phalarope","Native","Migrant",NA,"Shorebird"
"Wilson's Snipe","Native","Winter",NA,"Shorebird"
"Wilson's Warbler","Native","Migrant","Foliage arthropods","Warbler"
"Wood Duck","Native","Winter",NA,"DuckEtAl"
"Woodhouse's Scrub-Jay","Native","Year-Round","Omnivorous","JayRaven"
"Yellow-bellied Sapsucker","Native","Rarity",NA,"Woodpecker"
"Yellow-billed Cuckoo","Native","Breeding",NA,"CuckooEtAl"
"Yellow-breasted Chat","Native","Breeding","Foliage arthropods","Warbler"
"Yellow-headed Blackbird","Native","Winter","Ground arthropods","Icterid"
"Yellow-rumped Warbler","Native","Migrant","Foliage arthropods","Warbler"
"Yellow Warbler","Native","Breeding","Foliage arthropods","Warbler"
"Zone-tailed Hawk","Native","Migrant",NA,"Raptor"
